EQUIPMENTID,TIME_OF_DAY,TOTAL_VOLUME,AVG_SPEED_ARITHMETIC,AVG_SPEED_HARMONIC,AVG_LENGTH,AVG_SPACING,OCCUPANCY
121754_D,15:25:00,153.75432525951558,76.21622837370242,73.14102076124568,463.1989273356401,81.75714532871972,9.883702422145328
121754_D,15:30:00,152.2249134948097,76.02790657439446,73.13577854671281,462.3690311418685,82.08538062283736,9.811141868512111
121754_D,15:35:00,154.43079584775086,75.77589965397924,72.97022491349482,462.5829065743944,81.0284429065744,10.038823529411763
121754_D,15:40:00,155.8048359240069,75.84419689119171,73.0092055267703,461.7640932642487,79.92778929188256,10.060742659758205
121754_D,15:45:00,157.81519861830742,75.69968911917098,72.85701208981001,461.6391364421416,78.50785837651124,10.20775474956822
121754_D,15:50:00,158.45060658578856,75.78818024263431,72.75277296360485,462.8448180242635,78.361143847487,10.331681109185443
121754_D,15:55:00,156.42041522491348,75.73723183391004,72.7581660899654,463.33136678200697,79.65114186851211,10.146332179930795
121754_D,16:00:00,155.15051903114187,75.50110726643598,72.47389273356401,462.89145328719724,80.06126297577855,10.079723183391003
121754_D,16:05:00,160.03799654576858,75.71680483592401,72.75262521588945,464.0513644214162,77.44863557858376,10.381968911917099
121754_D,16:10:00,166.83074265975822,75.56751295336787,72.50820379965458,468.8291882556131,73.52713298791019,10.888514680483592
121754_D,16:15:00,169.61658031088083,75.56227979274611,72.52682210708117,463.6545941278066,72.30621761658031,10.993333333333334
121754_D,16:20:00,168.4515570934256,75.38557093425605,72.4058650519031,462.26475778546717,72.73456747404845,10.926955017301038
121754_D,16:25:00,166.7560553633218,75.52062283737024,72.52391003460208,462.64058823529416,73.96437716262976,10.798114186851212
121754_D,16:30:00,166.88428324697756,75.49544041450777,72.57951640759931,461.7622797927461,73.90233160621761,10.806770293609672
121754_D,16:35:00,174.07253886010363,75.0962694300518,72.08388601036269,460.417322970639,70.09576856649394,11.298480138169257
121754_D,16:40:00,182.05363321799308,74.88673010380623,71.79134948096886,460.2382871972318,66.53138408304498,11.856868512110728
121754_D,16:45:00,184.3258620689655,74.87412068965517,71.88996551724138,458.79205172413793,65.46668965517242,11.989913793103447
121754_D,16:50:00,183.44482758620688,75.11998275862068,72.32386206896551,459.5396551724138,66.23989655172414,11.88598275862069
121754_D,16:55:00,185.09827586206896,74.84694827586208,71.98196551724138,460.0464999999999,65.28555172413793,12.080879310344827
121754_D,17:00:00,181.40344827586208,75.10758620689656,72.06331034482758,459.9606896551724,66.97101724137931,11.830758620689656
121754_D,17:05:00,196.1793103448276,74.6348448275862,71.55974137931035,458.45770689655166,60.59201724137932,12.818275862068965
121754_D,17:10:00,209.63385146804836,74.17533678756476,71.06794473229706,457.43618307426595,56.14461139896373,13.752314335060449
121754_D,17:15:00,215.7710843373494,73.89299483648881,70.6090017211704,457.99390705679866,54.16585197934596,14.225697074010325
121754_D,17:20:00,213.20998278829603,74.14530120481928,70.53931153184165,459.049604130809,55.03452667814114,14.014096385542167
121754_D,17:25:00,207.407917383821,74.41457831325302,70.70702237521515,458.4628743545611,57.321497418244405,13.595731497418244
121754_D,17:30:00,204.94482758620688,74.57334482758621,71.05760344827587,459.0238793103448,57.944965517241386,13.426689655172414
121754_D,17:35:00,219.38103448275862,73.74044827586206,70.18512068965518,457.24087931034484,53.287396551724136,14.44144827586207
121754_D,17:40:00,237.6815834767642,73.02752151462994,69.47003442340791,456.8678657487091,47.86924268502582,15.857693631669536
121754_D,17:45:00,239.71256454388984,73.19836488812392,69.70738382099827,456.1162134251291,47.332994836488815,15.977005163511187
121754_D,17:50:00,238.66724137931035,73.35717241379311,69.66536206896552,456.8998620689655,47.78403448275862,15.908068965517241
121754_D,17:55:00,240.09810671256454,73.02261617900172,69.66247848537006,455.81356282271946,47.47605851979346,16.06160068846816
121754_D,18:00:00,233.37177280550773,73.18055077452668,69.6165060240964,456.855025817556,49.281858864027534,15.564595524956973
121754_D,18:05:00,241.57487091222032,72.92294320137694,69.20447504302926,455.4991049913941,46.960567986230636,16.168055077452667
121754_D,18:10:00,258.76936316695355,72.27452667814114,68.36722891566265,455.0535628227194,42.84741824440619,17.502994836488813
121754_D,18:15:00,271.22680412371136,70.96596219931271,67.28183848797251,451.588676975945,39.87137457044673,18.635498281786944
121754_D,18:20:00,270.62994836488815,71.03913941480207,67.57626506024096,450.94258175559384,39.92573149741824,18.526764199655766
121754_D,18:25:00,266.03951890034364,71.61506872852235,67.91969072164949,452.41530927835055,41.078006872852235,18.21115120274914
121754_D,18:30:00,259.7147766323024,72.25745704467353,68.38927835051545,453.5111340206185,42.65828178694158,17.710876288659794
121754_D,18:35:00,261.86746987951807,71.93320137693632,68.54191049913942,452.6922030981067,42.04571428571429,17.845060240963853
121754_D,18:40:00,265.55670103092785,71.97003436426117,68.41797250859106,452.9005154639175,41.2979381443299,18.058865979381444
121754_D,18:45:00,263.83161512027493,71.8083676975945,68.33864261168384,452.0000171821306,41.57307560137457,18.156632302405498
121754_D,18:50:00,262.28350515463916,72.31905498281787,68.949793814433,451.5252405498282,42.193745704467354,17.753350515463918
121754_D,18:55:00,257.0807560137457,72.72912371134021,69.3492439862543,451.90780068728526,43.583831615120275,17.36410652920962
121754_D,19:00:00,250.36082474226805,73.0678178694158,69.835206185567,453.4267525773196,45.16176975945017,16.866340206185566
121754_D,19:05:00,252.92943201376937,72.86397590361446,69.38175559380379,452.4185370051635,44.35631669535284,17.13082616179002
121754_D,19:10:00,260.144578313253,72.12843373493976,68.7555421686747,450.7696213425129,42.444216867469876,17.690636833046472
121754_D,19:15:00,263.1772805507745,72.01831325301205,68.74359724612736,450.1245094664372,41.896471600688464,17.89641996557659
121754_D,19:20:00,259.42685025817553,72.65347676419965,69.08530120481927,450.47535283993113,43.002185886402756,17.568227194492255
